#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl
,,North America,,"33,504,423","+8,089","758,226",+807,"23,176,861","+5,248","9,569,336","21,638",,,,,,North America,,,,
,,Asia,,"24,937,210","+1,190","397,560",+8,"23,447,478","+1,173","1,092,172","21,838",,,,,,Asia,,,,
,,South America,,"17,936,527",+656,"465,612",+19,"16,204,452",+603,"1,266,463","18,928",,,,,,South America,,,,
,,Europe,,"34,030,247",,"811,393",,"23,589,003",,"9,629,851","25,346",,,,,,Europe,,,,
,,Africa,,"3,915,198",,"103,643",,"3,475,121",,"336,434","2,528",,,,,,Africa,,,,
,,Oceania,,"51,161",+9,"1,088",,"34,279",+7,"15,794",6,,,,,,Australia/Oceania,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"114,375,487","+9,944","2,537,537",+834,"89,927,900","+7,031","21,910,050","90,284","14,673",325.5,,,,All,,,,
134,Burkina Faso,"11,982",,142 ,,"11,493",,347,,563,7,,,"21,277,090 ",Africa,"1,776149,839"
135,Hong Kong,"10,984",,198 ,,"10,519",,267,17,"1,457",26,"7,980,942","1,058,892","7,537,066 ",Asia,"68638,0661"
136,Andorra,"10,849",,110 ,,"10,429",,310,17,"140,264","1,422","193,595","2,502,941","77,347 ",Europe,77030
137,Lesotho,"10,491",,292 ,,"3,745",,"6,454",,"4,872",136,"60,460","28,076","2,153,442 ",Africa,"2057,37536"
138,Guadeloupe,"9,746",,159 ,,"2,242",,"7,345",6,"24,355",397,"131,178","327,807","400,169 ",North America,"412,5173"
139,Suriname,"8,919",,170 ,,"8,399",,350,8,"15,115",288,"40,756","69,067","590,095 ",South America,"663,47114"
140,Congo,"8,820",,128 ,,"7,019",,"1,673",,"1,573",23,"92,500","16,498","5,606,808 ",Africa,"63643,80361"
141,Guyana,"8,550",,195 ,,"7,971",,384,4,"10,836",247,"64,463","81,696","789,057 ",South America,"924,04612"
142,Bahamas,"8,519",,179 ,,"7,309",,"1,031",2,"21,528",452,"67,841","171,437","395,719 ",North America,"462,2116"
143,Mali,"8,365",,352 ,,"6,402",,"1,611",,405,17,"152,035","7,369","20,630,936 ",Africa,"2,46658,611136"
144,Aruba,"7,876",,73 ,,"7,563",,240,11,"73,563",682,"104,854","979,349","107,065 ",North America,"141,4671"
145,South Sudan,"7,771",,93 ,,"4,217",,"3,461",8,689,8,"108,767","9,642","11,280,056 ",Africa,"1,452121,291104"
146,Trinidad and Tobago,"7,705",,139 ,,"7,458",,108,2,"5,494",99,"95,939","68,407","1,402,482 ",North America,"18210,09015"
147,Somalia,"6,991",,231 ,,"3,787",,"2,973",,432,14,,,"16,182,323 ",Africa,"2,31570,053"
148,Togo,"6,851",,83 ,,"5,599",,"1,169",,815,10,"235,540","28,022","8,405,551 ",Africa,"1,227101,27236"
149,Martinique,"6,687",,45 ,,98,,"6,544",2,"17,829",120,"100,913","269,050","375,072 ",North America,"568,3354"
150,Nicaragua,"6,445",,173 ,,"4,225",,"2,047",,965,26,,,"6,676,396 ",North America,"1,03638,592"
151,Djibouti,"6,065",,63 ,,"5,895",,107,,"6,081",63,"115,475","115,772","997,437 ",Africa,"16415,8329"
152,Iceland,"6,049",,29 ,,"6,006",,14,8,"17,651",85,"499,700","1,458,110","342,704 ",Europe,"5711,8171"
153,Equatorial Guinea,"6,005",,91 ,,"5,622",,292,24,"4,191",64,"97,933","68,344","1,432,952 ",Africa,"23915,74715"
